Endpoint,Category,Field Name,Sample Value,Description
Vehicle/GetVehicles,Identification,id,VEHICLE-NA-CTOS-NX35-E0024C6B69D75C6F,Vehicle unique identifier
Vehicle/GetVehicles,Identification,serialNumber,CTOS-NX35-E0024C6B69D75C6F,Device serial number
Vehicle/GetVehicles,Identification,displayName,KK81SRGP,Vehicle display name (usually registration)
Vehicle/GetVehicles,Identification,fleetNumber,1363,Fleet tracking number
Vehicle/GetVehicles,Identification,registrationNumber,KK81SRGP,Vehicle registration/plate number
Vehicle/GetVehicles,Identification,vin,AAM29K0940PX44145,Vehicle Identification Number
Vehicle/GetVehicles,Vehicle Details,make,M A N,Vehicle manufacturer
Vehicle/GetVehicles,Vehicle Details,model,TGS 26.440,Vehicle model
Vehicle/GetVehicles,Vehicle Details,color,WHITE,Vehicle color
Vehicle/GetVehicles,Driver Assignment,driverId,345118a0-3157-434f-84d3-8560caa768c1,Current driver UUID
Vehicle/GetVehicles,Metrics,odometer,579259183,Odometer reading in meters
Vehicle/GetVehicles,Metrics,runningHours,17142043,Engine running hours in seconds
Vehicle/GetVehicles,Metrics,totalDriveTime,13589,Total drive time in seconds
Vehicle/GetVehicles,Metrics,totalStopTime,38068,Total stop time in seconds
Vehicle/GetVehicles,Timestamps,firstStartUpTime,2025-12-04T02:20:54,First ignition on time today
Vehicle/GetVehicles,Timestamps,lastReportedTime,2025-12-04T12:35:39,Last GPS report timestamp
Vehicle/GetVehicles,Device Info,devicesList[].id,CTOS-NX35-E0024C6B69D75C6F,Device identifier
Vehicle/GetVehicles,Device Info,devicesList[].unitType,CTOS,Device unit type
Vehicle/GetVehicles,Device Info,devicesList[].hardwareType,NX35,Device hardware model
Vehicle/LastDevicePosition,System,tenantId,3572298,Tenant/Account identifier
Vehicle/LastDevicePosition,System,deviceId,CTOS-NX35-E0024C6B69D78162,Tracking device unique identifier
Vehicle/LastDevicePosition,System,vehicleId,VEHICLE-NA-CTOS-NX35-E0024C6B69D78162,Vehicle unique identifier
Vehicle/LastDevicePosition,Timestamps,eventDateTimeUTC,2025-12-04T13:22:00,Event timestamp in UTC
Vehicle/LastDevicePosition,Timestamps,tripStartDateUTC,0001-01-01T00:00:00,Trip start time in UTC
Vehicle/LastDevicePosition,GPS Data,latitude,-31.59476,GPS latitude coordinate
Vehicle/LastDevicePosition,GPS Data,longitude,28.78631,GPS longitude coordinate
Vehicle/LastDevicePosition,GPS Data,altitude,-1,Altitude in meters (-1 if unavailable)
Vehicle/LastDevicePosition,GPS Data,heading,360,Direction heading in degrees (0-360)
